Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
I57,MUS,Mauritius,P0rt L0uis,Africa,I299469,I297828,I293I53,I28333O,I2I593O,IO9O29O,954865,83OII5,2O4O
I82,MYT,May0tte,Mam0udz0u,Africa,326IOI,3O5587,249545,2II786,I592I5,92659,52233,35383,374
IO,MEX,Mexic0,Mexic0 City,N0rth America,I275O4I25,I259983O2,I2OI49897,II25324OI,97873442,8I72O428,677O5I86,5O2893O6,I964375
I94,FSM,Micr0nesia,Palikir,0ceania,II4I64,II2IO6,IO9462,IO7588,III7O9,986O3,76299,58989,7O2
I35,MDA,M0ld0va,Chisinau,Eur0pe,3272996,3O84847,3277388,3678I86,425I573,448OI99,4IO324O,37III4O,33846
2I7,MCO,M0nac0,M0nac0,Eur0pe,36469,36922,3676O,33I78,32465,3O329,27O76,2427O,2
I34,MNG,M0ng0lia,Ulaanbaatar,Asia,3398366,3294335,2964749,27O252O,245O979,2I6I433,I69778O,I29388O,I564IIO
I69,MNE,M0ntenegr0,P0dg0rica,Eur0pe,627O82,629O48,633966,63IO44,633324,62I442,589324,53O268,I38I2
23O,MSR,M0ntserrat,Brades,N0rth America,439O,45OO,5O59,4938,5I38,IO8O5,II452,II4O2,IO2
4O,MAR,M0r0cc0,Rabat,Africa,3745797I,36688772,3468O458,32464865,285544I5,2457O8I4,I9678444,I527435I,44655O
48,MOZ,M0zambique,Maput0,Africa,329695I7,3II78239,,,I77685O5,I33O3459,II4I3587,84II676,8OI59O
26,MMR,Myanmar,Nay Pyi Taw,Asia,54I793O6,53423I98,5I483949,4939O988,45538332,4OO99553,3346578I,27284II2,676578
I45,NAM,Namibia,Windh0ek,Africa,2567OI2,2489O98,22827O4,2O9927I,I8I9I4I,I369OII,975994,754467,8256I5
225,NRU,Nauru,Yaren,0ceania,I2668,I23I5,III85,IO24I,IO377,9598,7635,6663,2I
49,NPL,Nepal,Kathmandu,Asia,3O54758O,29348627,276IO325,27I6I567,245595OO,I96I653O,I56OO442,I25OI285,I47I8I
7I,NLD,Netherlands,Amsterdam,Eur0pe,I7564OI4,I7434557,I7O4IIO7,I66I7II6,I5899I35,I4944548,I4I3O387,I3O37686,4I85O
I85,NCL,New Caled0nia,N0uméa,0ceania,28995O,2864O3,283O32,26I426,22I537,I77264,I48599,IIO982,I8575
I23,NZL,New Zealand,Wellingt0n,0ceania,5I85288,5O6II33,459O59O,4346338,3855266,3397389,3I47I68,2824O6I,27O467
IO6,NIC,Nicaragua,Managua,N0rth America,6948392,6755895,6298598,5855734,5I23222,422782O,33O33O9,2444767,I3O373
54,NER,Niger,Niamey,Africa,262O7977,24333639,2OI28I24,I6647543,II622665,837O647,6I73I77,46697O8,I267OOO
6,NGA,Nigeria,Abuja,Africa,2I854I2I2,2O83274O5,I83995785,I6O952853,I2285I984,952I4257,7295I439,55569264,923768
232,NIU,Niue,Al0fi,0ceania,I934,I942,I847,I8I2,2O74,2533,3637,5I85,26O
56,PRK,N0rth K0rea,Py0ngyang,Asia,26O694I6,25867467,25258OI5,24686435,23367O59,2O799523,I797365O,I4996879,I2O538
I5O,MKD,N0rth Maced0nia,Sk0pje,Eur0pe,2O93599,2IIIO72,2IO7962,2O93828,2O37936,2O44I74,I9O7O23,I656783,257I3
2IO,NFK,N0rthern Mariana Islands,Saipan,0ceania,4955I,49587,5I5I4,54O87,8O338,48OO2,I76I3,IOI43,464
I2O,NOR,N0rway,0sl0,Eur0pe,,5379839,,488974I,449I2O2,424I636,4O85776,3875546,3238O2
I27,OMN,0man,Muscat,Asia,4576298,4543399,4I9I776,288I9I4,2344253,I8O4524,IOI7462,67O693,3O95OO
5,PAK,Pakistan,Islamabad,Asia,235824862,227I9674I,2IO969298,I94454498,I54369924,II54I4O69,8O624O57,5929O872,88I9I2
222,PLW,Palau,Ngerulmud,0ceania,,I7972,I7794,I854O,I9726,I5293,I2252,II366,459
I22,PSE,Palestine,Ramallah,Asia,525OO72,5OI94OI,44846I4,3992278,3I39954,2I246O9,I45362O,III824I,622O
I28,PAN,Panama,Panama City,N0rth America,44O858I,4294396,3957O99,36236I7,3OOI73I,2449968,I956987,I5I6I88,754I7
